,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_Nhpyrrole,fr_alkyl_halide,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_methoxy,fr_morpholine,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_pyridine,fr_unbrch_alkane
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccccc1,5.357777777777778,0.8217592592592595,5.357777777777778,0.8217592592592595,0.48007546344555985,93.12899999999999,86.07299999999998,93.057849224,36.0,0.03134759259121864,-0.39872882948659094,0.39872882948659094,0.03134759259121864,1.0,1.5714285714285714,1.8571428571428572,14.53191100585711,10.325605444309435,1.7177485503746481,-1.832534423054877,1.9538296161006725,-1.788344189435662,5.35384440237622,1.6886545936299073,3.0214653097240864,134.10736969541455,5.112884175122364,3.9641016151377544,3.9641016151377544,3.393846850117352,2.1993587371177727,2.1993587371177727,1.4106836025229597,1.4106836025229597,0.7995724914118484,0.7995724914118484,0.4530389187988476,0.4530389187988476,-0.9800000000000001,47.19725257297226,4.18611295681063,1.6461962159398054,0.9290591797144502,42.771293816509676,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.19910120538483,12.13273413692322,5.687386274683562,0.0,0.0,5.687386274683562,0.0,0.0,0.0,5.733667477162185,30.33183534230805,0.0,5.733667477162185,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,0.0,26.02,0.0,0.0,0.0,0.0,5.687386274683562,0.0,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.179537037037037,0.0,9.48712962962963,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2688000000000001,30.8544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42.0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,26.02,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1453,34.333400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
